ACO_ID,ACO First Agreement Start Date,ACO_NUM
A3696,1/1/2018,A97493
A3698,1/1/2018,A03005
A3702,1/1/2018,A00396
A3704,1/1/2018,A66980
A3712,1/1/2018,A93380
A3714,1/1/2018,A54907
A3715,1/1/2018,A77282
A3716,1/1/2018,A33312
A3717,1/1/2018,A85488
A3718,1/1/2018,A42572
A3719,1/1/2018,A72254
A3720,1/1/2018,A12188
A3722,1/1/2018,A03945
A3723,1/1/2018,A33789
A3724,1/1/2018,A65557
A3730,1/1/2018,A02117
A3731,1/1/2018,A64797
A3732,1/1/2018,A34153
A3738,1/1/2018,A16709
A3739,1/1/2018,A95384
A3743,1/1/2018,A59749
A3745,1/1/2018,A19595
A3747,1/1/2018,A44298
A3759,1/1/2018,A74285
A3760,1/1/2018,A73781
A3762,1/1/2018,A91485
A3764,1/1/2018,A39069
A3769,1/1/2018,A31292
A3770,1/1/2018,A35525
A3771,1/1/2018,A16239
A3773,1/1/2018,A98674
A3774,1/1/2018,A70817
A3775,1/1/2018,A01395
A3783,1/1/2018,A88942
A3785,1/1/2018,A23770
A3787,1/1/2018,A81916
A3789,1/1/2018,A04510
A3791,1/1/2018,A67355
A3793,1/1/2018,A77118
A3795,1/1/2018,A93452
A3797,1/1/2018,A34016
A3799,1/1/2018,A10180
A3819,1/1/2018,A90730
A3822,1/1/2018,A65998
A3825,1/1/2018,A23813
A3832,1/1/2018,A78179
A3834,1/1/2018,A49459
A3835,1/1/2018,A97781
A3837,1/1/2018,A97409
A3839,1/1/2018,A11149
A3840,1/1/2018,A91603
A3841,1/1/2018,A68728
A3848,1/1/2018,A00753
A3850,1/1/2018,A74525
A3852,1/1/2018,A78216
A3859,1/1/2018,A78303
A3864,1/1/2018,A28152
A3873,1/1/2018,A24822
A3877,1/1/2018,A66097
A3886,1/1/2018,A25985
A3891,1/1/2018,A43639
A3894,1/1/2018,A87929
A3895,1/1/2018,A48347
A3896,1/1/2018,A02853
A3899,1/1/2018,A86260
A3904,1/1/2018,A17829
A3908,1/1/2018,A14543
A3919,1/1/2018,A51609
A3920,1/1/2018,A31168
A3922,1/1/2018,A80255
A3927,1/1/2018,A82190
